id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors
7475441,2010-01-01 02:40:00,503,1088,$28.21,Swipe Transaction,20561,Chicago,IL,60629.0,5912,
7475442,2010-01-01 02:40:00,714,2958,$44.86,Swipe Transaction,1238,Fayetteville,AR,72703.0,7393,
7475443,2010-01-01 02:44:00,908,5154,$57.73,Swipe Transaction,68751,Holly Springs,NC,27540.0,5651,
7475444,2010-01-01 02:45:00,758,2181,$6.52,Swipe Transaction,75781,Alhambra,CA,91801.0,5411,
7475446,2010-01-01 02:48:00,1411,1069,$4.04,Swipe Transaction,10455,Saint Charles,IL,60174.0,5812,
7475447,2010-01-01 02:51:00,140,152,$3.93,Swipe Transaction,61195,Woodbury,TN,37190.0,5541,
7475449,2010-01-01 02:51:00,1424,4710,$5.12,Swipe Transaction,95811,Seligman,AZ,86337.0,5411,
7475450,2010-01-01 02:52:00,843,184,$19.15,Swipe Transaction,73365,Terre Haute,IN,47805.0,5651,
7475452,2010-01-01 02:57:00,895,217,$58.85,Swipe Transaction,88544,Big Bear Lake,CA,92315.0,5300,
7475453,2010-01-01 02:57:00,1313,4183,$2.77,Swipe Transaction,61746,Sutersville,PA,15083.0,5411,
7475454,2010-01-01 02:57:00,1459,3383,$2.75,Swipe Transaction,47756,Albuquerque,NM,87121.0,5411,
7475455,2010-01-01 02:59:00,474,2493,$115.37,Swipe Transaction,98648,Williston Park,NY,11596.0,5814,
7475456,2010-01-01 03:02:00,1802,5836,$77.70,Swipe Transaction,60569,Somerset,NJ,8873.0,5300,
7475457,2010-01-01 03:03:00,702,4199,$120.87,Swipe Transaction,61195,Huntington Station,NY,11746.0,5541,
7475458,2010-01-01 03:06:00,461,5482,$23.86,Swipe Transaction,45389,Canton,MI,48188.0,5813,
7475459,2010-01-01 03:08:00,169,3256,$11.18,Swipe Transaction,2205,Sumter,SC,29153.0,5813,
7475460,2010-01-01 03:08:00,957,4532,$-147.00,Swipe Transaction,44795,Marysville,OH,43040.0,3780,
7475461,2010-01-01 03:09:00,140,152,$3.92,Swipe Transaction,75936,Whites Creek,TN,37189.0,5814,
7475462,2010-01-01 03:09:00,843,184,$27.29,Swipe Transaction,73365,Terre Haute,IN,47805.0,5651,
7475463,2010-01-01 03:11:00,1921,1181,$40.89,Online Transaction,59350,ONLINE,,,7922,
7475464,2010-01-01 03:13:00,957,4532,$14.21,Swipe Transaction,44795,Marysville,OH,43040.0,3780,
7475465,2010-01-01 03:16:00,1920,3415,$24.47,Swipe Transaction,35001,Oak Park,MN,56357.0,5813,
7475466,2010-01-01 03:17:00,319,248,$29.60,Swipe Transaction,54850,Fresno,CA,93727.0,4814,
7475467,2010-01-01 03:17:00,613,1191,$22.77,Swipe Transaction,44919,Lombard,IL,60148.0,5814,
7475468,2010-01-01 03:20:00,121,5952,$58.47,Online Transaction,80770,ONLINE,,,7922,
7475469,2010-01-01 03:23:00,1787,2228,$37.09,Swipe Transaction,96712,Lexington,KY,40509.0,5813,
7475470,2010-01-01 03:26:00,609,2892,$11.44,Swipe Transaction,46284,Garland,TX,75040.0,5411,
7475471,2010-01-01 03:27:00,1209,3387,$4.78,Swipe Transaction,50783,New Rochelle,NY,10801.0,5411,
7475473,2010-01-01 03:29:00,895,1116,$35.23,Swipe Transaction,45188,Big Bear Lake,CA,92315.0,5651,
7475474,2010-01-01 03:32:00,819,3245,$102.27,Swipe Transaction,51664,Pittsburgh,PA,15224.0,4900,
7475475,2010-01-01 03:32:00,1237,2092,$3.58,Swipe Transaction,75936,Waukegan,IL,60085.0,5814,
7475476,2010-01-01 03:32:00,1538,3206,$14.36,Swipe Transaction,98374,Nazareth,PA,18064.0,5411,
7475477,2010-01-01 03:36:00,1686,2617,$176.44,Swipe Transaction,1827,Lafayette,CO,80026.0,5912,
7475478,2010-01-01 03:49:00,442,112,$120.00,Swipe Transaction,27092,Belleville,IL,62221.0,4829,
7475479,2010-01-01 03:51:00,1209,3387,$4.39,Swipe Transaction,50783,New Rochelle,NY,10801.0,5411,
7475480,2010-01-01 03:52:00,618,3411,$6.72,Swipe Transaction,75781,Manhattan Beach,CA,90266.0,5411,
7475481,2010-01-01 03:52:00,1941,2940,$13.79,Swipe Transaction,56241,Campbell,TX,75422.0,5310,
7475482,2010-01-01 03:53:00,241,3921,$63.50,Swipe Transaction,70766,Rockingham,NC,28379.0,5651,
7475483,2010-01-01 03:56:00,377,4602,$59.44,Swipe Transaction,55604,Withee,WI,54498.0,7538,
7475485,2010-01-01 03:57:00,185,5361,$15.89,Online Transaction,39261,ONLINE,,,5815,
7475486,2010-01-01 04:01:00,421,2177,$96.63,Swipe Transaction,20561,Ottumwa,IA,52501.0,5912,
7475487,2010-01-01 04:05:00,1382,2838,$93.13,Swipe Transaction,22014,Dallas,TX,75253.0,4900,
7475488,2010-01-01 04:06:00,1080,2562,$31.50,Swipe Transaction,85304,Eastman,GA,31023.0,5310,
7475489,2010-01-01 04:13:00,1413,4673,$1.62,Swipe Transaction,20519,Jasper,IN,47546.0,5942,
7475490,2010-01-01 04:14:00,585,5881,$20.86,Online Transaction,41122,ONLINE,,,4784,
7475491,2010-01-01 04:17:00,356,3251,$7.71,Online Transaction,50404,ONLINE,,,4784,
7475492,2010-01-01 04:17:00,1920,2791,$33.19,Swipe Transaction,35001,Oak Park,MN,56357.0,5813,
7475493,2010-01-01 04:18:00,816,5066,$108.13,Swipe Transaction,98374,Church Hill,TN,37642.0,5411,
7475494,2010-01-01 04:21:00,103,5113,$166.34,Online Transaction,56276,ONLINE,,,4899,
7475495,2010-01-01 04:21:00,1635,115,$14.50,Swipe Transaction,45501,Jamaica,NY,11434.0,5912,
7475496,2010-01-01 04:22:00,1313,4183,$3.36,Swipe Transaction,98374,Slovan,PA,15078.0,5411,
7475497,2010-01-01 04:25:00,20,3857,$2.56,Swipe Transaction,59397,Weatherford,TX,76086.0,5812,
7475498,2010-01-01 04:27:00,1736,113,$55.79,Swipe Transaction,24823,Brooklyn,NY,11211.0,7538,
7475499,2010-01-01 04:28:00,1812,2531,$174.06,Swipe Transaction,68671,North Little Rock,AR,72116.0,5541,
7475500,2010-01-01 04:30:00,1905,5807,$54.98,Online Transaction,73186,ONLINE,,,4814,
7475501,2010-01-01 04:31:00,526,5917,$22.23,Online Transaction,16798,ONLINE,,,4121,
7475502,2010-01-01 04:31:00,1378,2921,$60.00,Swipe Transaction,27092,Suring,WI,54174.0,4829,
7475505,2010-01-01 04:38:00,100,5903,$60.09,Swipe Transaction,20916,Hillsborough,NC,27278.0,5651,
7475506,2010-01-01 04:38:00,839,4725,$74.76,Swipe Transaction,32175,Danbury,CT,6810.0,7538,
7475507,2010-01-01 04:39:00,1629,4290,$29.93,Swipe Transaction,95377,Fort Lauderdale,FL,33313.0,5912,
7475508,2010-01-01 04:44:00,1807,2823,$119.42,Swipe Transaction,84708,Bronx,NY,10463.0,4900,
7475509,2010-01-01 04:45:00,1718,4706,$46.21,Online Transaction,15143,ONLINE,,,4784,
7475510,2010-01-01 04:49:00,1629,4290,$26.38,Online Transaction,39021,ONLINE,,,4784,
7475511,2010-01-01 04:49:00,1880,2014,$67.09,Swipe Transaction,40475,Arlington Heights,IL,60005.0,7802,
7475512,2010-01-01 04:51:00,1563,5125,$1.14,Swipe Transaction,14528,Los Angeles,CA,90004.0,5499,
7475513,2010-01-01 04:52:00,1728,153,$69.85,Swipe Transaction,49286,Waupaca,WI,54981.0,5300,
7475514,2010-01-01 04:54:00,33,2404,$8.73,Swipe Transaction,50783,Spring Creek,NV,89815.0,5411,
7475515,2010-01-01 04:54:00,464,3233,$104.40,Swipe Transaction,32175,Orlando,FL,32804.0,7538,
7475516,2010-01-01 04:56:00,464,3233,$104.10,Swipe Transaction,32175,Orlando,FL,32804.0,7538,Technical Glitch
7475517,2010-01-01 04:58:00,984,2796,$79.70,Swipe Transaction,60569,Kissimmee,FL,34758.0,5300,
7475518,2010-01-01 04:58:00,1148,5804,$2.68,Swipe Transaction,59935,Philadelphia,PA,19146.0,5499,
7475519,2010-01-01 05:04:00,1540,5562,$46.05,Online Transaction,39021,ONLINE,,,4784,
7475520,2010-01-01 05:05:00,1102,2822,$185.60,Online Transaction,80770,ONLINE,,,7922,
7475521,2010-01-01 05:09:00,1378,4227,$60.00,Swipe Transaction,27092,Suring,WI,54174.0,4829,
7475522,2010-01-01 05:10:00,630,2059,$60.00,Swipe Transaction,27092,Jacksonville,FL,32221.0,4829,
7475523,2010-01-01 05:10:00,1455,2960,$11.78,Swipe Transaction,76199,San Diego,CA,92102.0,5813,
7475524,2010-01-01 05:12:00,1445,3722,$4.43,Online Transaction,39021,ONLINE,,,4784,
7475525,2010-01-01 05:12:00,1964,2508,$18.24,Swipe Transaction,715,Clayton,NC,27520.0,7230,
7475526,2010-01-01 05:15:00,847,4531,$140.00,Swipe Transaction,27092,Billings,OK,74630.0,4829,
7475527,2010-01-01 05:15:00,1098,4626,$6.76,Swipe Transaction,50867,Hawarden,IA,51023.0,5541,
7475528,2010-01-01 05:16:00,1541,228,$4.22,Swipe Transaction,61806,Clinton,TN,37716.0,5912,
7475529,2010-01-01 05:19:00,595,4666,$67.25,Swipe Transaction,94050,Bunn,NC,27508.0,5655,
7475531,2010-01-01 05:20:00,1356,4752,$48.76,Swipe Transaction,76639,Fond Du Lac,WI,54935.0,5732,
7475532,2010-01-01 05:24:00,641,14,$8.84,Swipe Transaction,41943,Columbus,OH,43228.0,5813,
7475533,2010-01-01 05:26:00,961,4584,$36.53,Swipe Transaction,42465,Wilkes Barre,PA,18703.0,5813,
7475534,2010-01-01 05:30:00,1034,4622,$41.30,Online Transaction,17976,ONLINE,,,4900,
7475535,2010-01-01 05:33:00,503,1088,$16.71,Swipe Transaction,32175,Chicago,IL,60630.0,7538,
7475537,2010-01-01 05:36:00,1759,4232,$3.03,Swipe Transaction,23481,Oceanside,CA,92057.0,5812,
7475538,2010-01-01 05:38:00,470,5097,$6.83,Swipe Transaction,22938,Wister,OK,74966.0,5812,
7475539,2010-01-01 05:38:00,1696,2408,$4.02,Swipe Transaction,35451,Merritt Island,FL,32952.0,5812,
7475540,2010-01-01 05:38:00,1769,43,$0.18,Swipe Transaction,86438,Manahawkin,NJ,8050.0,5499,
7475541,2010-01-01 05:40:00,303,4194,$80.00,Swipe Transaction,27092,Brighton,CO,80602.0,4829,
7475542,2010-01-01 05:40:00,550,163,$1.98,Swipe Transaction,50783,Mecosta,MI,49332.0,5411,
7475543,2010-01-01 05:41:00,1676,134,$66.98,Swipe Transaction,21189,Elk Grove Village,IL,60007.0,5812,
7475544,2010-01-01 05:43:00,185,5361,$2.91,Swipe Transaction,25705,Elizabeth,NJ,7201.0,5411,
7475545,2010-01-01 05:43:00,810,4309,$16.16,Swipe Transaction,2124,Springfield,KY,40069.0,5812,
7475546,2010-01-01 05:43:00,1540,3763,$46.01,Online Transaction,39021,ONLINE,,,4784,
7475547,2010-01-01 05:46:00,1513,2965,$1.00,Swipe Transaction,86438,Dryden,NY,13053.0,5499,
7475548,2010-01-01 05:46:00,1776,4938,$11.91,Swipe Transaction,73840,Nashport,OH,43830.0,5912,
7475551,2010-01-01 05:48:00,52,4976,$115.82,Swipe Transaction,26810,Plattekill,NY,12568.0,5541,
7475552,2010-01-01 05:48:00,246,1158,$34.46,Swipe Transaction,53187,Minneapolis,MN,55419.0,5813,
7475555,2010-01-01 05:49:00,737,148,$1.40,Swipe Transaction,88374,Medford,OR,97504.0,5411,
7475556,2010-01-01 05:51:00,1487,5978,$91.13,Swipe Transaction,20884,Renfrew,PA,16053.0,5812,
7475557,2010-01-01 05:51:00,1516,1002,$16.67,Swipe Transaction,69956,Milpitas,CA,95035.0,5310,
7475559,2010-01-01 05:52:00,822,5385,$10.45,Online Transaction,50292,ONLINE,,,7801,
7475561,2010-01-01 05:53:00,1516,1002,$1.88,Swipe Transaction,19252,Milpitas,CA,95035.0,5411,
7475562,2010-01-01 05:55:00,11,243,$262.47,Swipe Transaction,16041,South Ozone Park,NY,11420.0,7802,
7475563,2010-01-01 05:55:00,190,4621,$3.40,Swipe Transaction,23098,Skokie,IL,60077.0,5812,
7475564,2010-01-01 05:56:00,530,3344,$2.98,Swipe Transaction,88646,Colton,CA,92324.0,5812,
7475565,2010-01-01 05:56:00,1840,3322,$10.79,Swipe Transaction,27156,Beaverton,OR,97005.0,5812,
7475566,2010-01-01 05:57:00,28,2568,$300.48,Swipe Transaction,23008,Woodbridge,VA,22191.0,5932,
7475567,2010-01-01 05:57:00,327,5512,$61.86,Online Transaction,39021,ONLINE,,,4784,
7475568,2010-01-01 05:57:00,1826,5779,$3.29,Swipe Transaction,43293,Lady Lake,FL,32159.0,5499,
7475569,2010-01-01 05:59:00,1381,3738,$9.84,Swipe Transaction,11264,Mentor,OH,44060.0,5812,
7475570,2010-01-01 06:00:00,1080,2562,$43.13,Swipe Transaction,11468,Macon,GA,31204.0,5970,
7475571,2010-01-01 06:00:00,1209,4573,$3.41,Swipe Transaction,89738,Yonkers,NY,10710.0,5411,
7475572,2010-01-01 06:01:00,592,4133,$12.81,Online Transaction,39021,ONLINE,,,4784,
7475573,2010-01-01 06:01:00,628,2579,$95.00,Swipe Transaction,59935,Narberth,PA,19072.0,5499,
7475574,2010-01-01 06:01:00,760,5876,$2.12,Swipe Transaction,75781,Columbus,OH,43228.0,5411,
7475575,2010-01-01 06:01:00,848,3915,$60.37,Swipe Transaction,83743,Harwood,MD,20776.0,7538,
7475576,2010-01-01 06:01:00,1248,5787,$41.95,Swipe Transaction,40475,Arlington Heights,IL,60005.0,7802,
7475577,2010-01-01 06:01:00,1382,1110,$36.92,Swipe Transaction,63909,Dallas,TX,75253.0,5912,
7475578,2010-01-01 06:02:00,38,2526,$14.67,Online Transaction,50404,ONLINE,,,4784,
7475579,2010-01-01 06:02:00,847,4531,$100.00,Swipe Transaction,27092,Billings,OK,74630.0,4829,
7475580,2010-01-01 06:02:00,1529,4985,$3.98,Swipe Transaction,23492,Pompano Beach,FL,33076.0,5411,
7475582,2010-01-01 06:03:00,511,974,$3.33,Swipe Transaction,20519,Phoenix,AZ,85015.0,5942,
7475584,2010-01-01 06:03:00,763,4993,$33.64,Swipe Transaction,3316,Wynnewood,PA,19096.0,5912,
7475585,2010-01-01 06:03:00,1242,5102,$78.05,Swipe Transaction,32175,Chicago,IL,60621.0,7538,
7475586,2010-01-01 06:03:00,1696,2408,$9.68,Online Transaction,39021,ONLINE,,,4784,
7475588,2010-01-01 06:04:00,1675,4692,$64.39,Swipe Transaction,43293,Puyallup,WA,98373.0,5499,
7475589,2010-01-01 06:05:00,1786,1000,$8.73,Swipe Transaction,50867,Louisville,OH,44641.0,5541,
7475590,2010-01-01 06:06:00,211,3739,$2.13,Swipe Transaction,22484,Lake Havasu City,AZ,86404.0,5411,
7475591,2010-01-01 06:06:00,997,5046,$35.90,Swipe Transaction,83070,Chula Vista,CA,91913.0,4121,
7475592,2010-01-01 06:07:00,112,1134,$23.61,Online Transaction,39021,ONLINE,,,4784,
7475594,2010-01-01 06:07:00,425,5149,$2.72,Swipe Transaction,88374,Carmel,CA,93923.0,5411,
7475595,2010-01-01 06:07:00,759,3716,$66.00,Swipe Transaction,59935,Franklin,TN,37067.0,5499,
7475596,2010-01-01 06:07:00,996,1107,$1.54,Swipe Transaction,12547,Hollywood,FL,33024.0,5411,
7475598,2010-01-01 06:07:00,1741,1097,$10.02,Swipe Transaction,50856,Tucson,AZ,85711.0,5813,
7475599,2010-01-01 06:08:00,890,5799,$4.04,Swipe Transaction,35433,Fullerton,CA,92831.0,5812,
7475600,2010-01-01 06:08:00,1381,3738,$5.41,Swipe Transaction,11264,Mentor,OH,44060.0,5812,
7475601,2010-01-01 06:08:00,1692,5371,$42.28,Online Transaction,39021,ONLINE,,,4784,
7475602,2010-01-01 06:09:00,152,2848,$113.09,Swipe Transaction,71667,Russellville,AL,35653.0,7538,
7475603,2010-01-01 06:09:00,980,5052,$1.33,Swipe Transaction,59935,Gwynn Oak,MD,21207.0,5499,
7475604,2010-01-01 06:09:00,1150,4672,$7.09,Swipe Transaction,19464,Hurst,TX,76054.0,5812,
7475605,2010-01-01 06:09:00,1445,2899,$2.38,Swipe Transaction,53402,Claypool,IN,46510.0,5411,
7475606,2010-01-01 06:10:00,89,2998,$6.89,Swipe Transaction,44678,Mesilla Park,NM,88047.0,5812,
7475607,2010-01-01 06:10:00,135,2808,$189.29,Online Transaction,90999,ONLINE,,,4722,
7475608,2010-01-01 06:10:00,357,5481,$140.00,Swipe Transaction,27092,Boston,MA,2128.0,4829,
7475609,2010-01-01 06:10:00,657,4662,$144.68,Swipe Transaction,93195,Pahrump,NV,89048.0,4900,
7475610,2010-01-01 06:10:00,1428,5116,$1.33,Swipe Transaction,14528,Lebanon,MO,65536.0,5499,
